Batch Index,Time
887,0.012076
888,0.011948
889,0.012015
890,0.011915
891,0.012032
892,0.011894
893,0.011966
894,0.011902
895,0.01212
896,0.013801
897,0.011953
898,0.01192
899,0.011937
900,0.011975
901,0.01196
902,0.011939
903,0.012021
904,0.011935
905,0.011938
906,0.011911
907,0.01198
908,0.013287
909,0.01195
910,0.011941
911,0.011909
912,0.011832
913,0.011984
914,0.011894
915,0.011897
916,0.012037
917,0.011991
918,0.012002
919,0.011998
920,0.012029
921,0.011948
922,0.012073
923,0.013677
924,0.011971
925,0.011943
926,0.011948
927,0.01199
928,0.011932
929,0.01197
930,0.01201
931,0.011967
932,0.011991
933,0.012003
934,0.011889
935,0.01186
936,0.011927
937,0.011949
938,0.013442
939,0.012008
940,0.01367
941,0.01191
942,0.011907
943,0.011824
944,0.01196
945,0.012088
946,0.012269
947,0.011917
948,0.011948
949,0.011964
950,0.011966
951,0.011936
952,0.012025
953,0.011873
954,0.011991
955,0.012033
956,0.011909
957,0.012008
958,0.012092
959,0.011934
960,0.01201
961,0.011937
962,0.012033
963,0.018193
964,0.011941
965,0.01198
966,0.011964
967,0.011907
968,0.011919
969,0.01204
970,0.011941
971,0.012028
972,0.012007
973,0.011976
974,0.011995
975,0.017569
976,0.011958
977,0.012012
978,0.011873
979,0.011946
980,0.011946
981,0.011993
982,0.011916
983,0.011996
984,0.011966
985,0.011901
986,0.012006
987,0.01199
988,0.011874
989,0.012035
990,0.012012
991,0.013543
992,0.011985
993,0.011983
994,0.011921
995,0.012017
996,0.012011
997,0.011908
998,0.011976
999,0.011969
1000,0.01196
1001,0.011935
1002,0.011942
1003,0.011932
1004,0.01356
1005,0.011952
1006,0.011939
1007,0.011892
1008,0.011842
1009,0.011895
1010,0.011899
1011,0.011994
1012,0.011907
1013,0.011919
1014,0.011945
1015,0.01183
1016,0.012048
1017,0.012041
1018,0.012057
1019,0.012114
1020,0.011909
1021,0.012027
1022,0.012071
1023,0.011938
1024,0.012007
1025,0.011997
1026,0.011949
1027,0.014144
1028,0.012016
1029,0.01196
1030,0.012015
1031,0.011947
1032,0.011895
1033,0.013356
1034,0.011952
1035,0.011892
1036,0.014195
1037,0.011974
1038,0.011994
1039,0.011977
1040,0.011947
1041,0.011877
1042,0.011958
1043,0.011936
1044,0.011864
1045,0.012033
1046,0.012028
1047,0.011976
1048,0.011962
1049,0.011996
1050,0.012031
1051,0.013677
1052,0.014572
1053,0.011928
1054,0.011992
1055,0.014448
1056,0.011884
1057,0.011907
1058,0.01186
1059,0.01184
1060,0.011749
1061,0.01179
1062,0.011849
1063,0.011898
1064,0.011883
1065,0.011845
1066,0.011837
1067,0.011925
1068,0.011883
1069,0.011994
1070,0.011994
1071,0.011961
1072,0.012019
1073,0.011997
1074,0.011996
1075,0.011839
1076,0.011922
1077,0.011899
1078,0.011949
1079,0.011916
1080,0.011912
1081,0.011943
1082,0.011809
1083,0.0118
1084,0.011987
1085,0.011881
1086,0.012032
1087,0.012054
1088,0.011992
1089,0.012044
1090,0.012042
1091,0.011935
1092,0.011995
1093,0.012038
1094,0.011898
1095,0.01192
1096,0.012036
1097,0.012115
1098,0.011883
1099,0.012006
1100,0.012051
1101,0.011969
1102,0.012037
1103,0.012074
1104,0.01203
1105,0.013526
1106,0.012105
1107,0.011909
1108,0.011922
1109,0.011955
1110,0.011968
1111,0.011913
1112,0.011949
1113,0.011913
1114,0.011931
1115,0.012005
1116,0.011963
1117,0.021096
1118,0.011999
1119,0.011939
1120,0.011984
1121,0.011955
1122,0.011866
1123,0.011999
1124,0.011898
1125,0.012017
1126,0.011987
1127,0.011896
1128,0.012041
1129,0.012087
1130,0.011961
1131,0.012061
1132,0.012001
1133,0.012018
1134,0.012021
1135,0.011998
1136,0.012032
1137,0.011919
1138,0.012012
1139,0.0209
1140,0.011989
1141,0.012022
1142,0.017735
1143,0.01196
1144,0.011998
1145,0.011966
1146,0.011972
1147,0.012006
1148,0.011968
1149,0.01401
1150,0.012011
1151,0.0137
1152,0.011952
1153,0.013911
1154,0.011984
1155,0.013492
1156,0.012037
1157,0.011969
1158,0.01198
1159,0.011931
1160,0.011949
1161,0.012012
1162,0.011921
1163,0.012062
1164,0.013628
1165,0.011922
1166,0.011814
1167,0.011983
1168,0.011827
1169,0.011976
1170,0.012002
1171,0.0119
1172,0.011873
1173,0.011961
1174,0.011985
1175,0.011929
1176,0.011919
1177,0.012012
1178,0.012001
1179,0.014733
1180,0.011919
1181,0.011994
1182,0.01193
1183,0.011879
1184,0.012036
1185,0.011993
1186,0.012
1187,0.011918
1188,0.012005
1189,0.01205
1190,0.011921
1191,0.01207
1192,0.012024
1193,0.01194
1194,0.012013
1195,0.012036
1196,0.011935
1197,0.012036
1198,0.012013
1199,0.012003
1200,0.011939
1201,0.014782
1202,0.011909
1203,0.011975
1204,0.011992
1205,0.01193
1206,0.011915
1207,0.012017
1208,0.011939
1209,0.011884
1210,0.011935
1211,0.011919
1212,0.011944
1213,0.011964
1214,0.011914
1215,0.011932
1216,0.011984
1217,0.012077
1218,0.012023
1219,0.012104
1220,0.014366
1221,0.011951
1222,0.02104
1223,0.012591
1224,0.012377
1225,0.011832
1226,0.011841
1227,0.011821
1228,0.011925
1229,0.011912
1230,0.011955
1231,0.012053
